j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;269;"Liceul Teoretic ""Benjamin Franklin""";4061100981;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.37;8.44
B;270;"Liceul Teoretic ""Benjamin Franklin""";4061100981;URBAN;Filologie;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;8.35;8.49
B;289;"Colegiul Tehnic ""Mihai Bravu""";4061102739;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.90;7.59
B;290;"Colegiul Tehnic ""Mihai Bravu""";4061102739;URBAN;Turism Si alimentatie;Limba romana;-;72;72;Zi;Servicii;Tehnologica;Liceal;7.37;7.10
B;291;"Colegiul Tehnic ""Mihai Bravu""";4061102739;URBAN;Constructii, instalatii Si lucrari publice;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;5.07;5.25
B;292;"Colegiul Tehnic ""Mihai Bravu""";4061102739;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.87;3.15
B;293;"Colegiul Tehnic ""Mihai Bravu""";4061102739;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.45;4.67
B;279;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.70;7.55
B;280;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.65;-
B;281;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Chimie industriala;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;6.55;6.75
B;282;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Chimie industriala;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.35;-
B;283;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Industrie alimentara;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.12;5.96
B;284;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Protectia mediului;Limba romana;-;48;48;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.17;6.14
B;285;"Colegiul Tehnic ""Costin D. Nenitescu""";4061101824;URBAN;Electromecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.10;-
B;255;"Colegiul National ""Matei Basarab""";4061103012;URBAN;Matematica-Informatica;Limba romana;-;104;104;Zi;Real;Teoretica;Liceal;9.50;9.44
B;256;"Colegiul National ""Matei Basarab""";4061103012;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.47;9.43
B;257;"Colegiul National ""Matei Basarab""";4061103012;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.37;9.32
B;258;"Colegiul National ""Matei Basarab""";4061103012;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.45;9.36
B;286;"Colegiul Tehnic ""Anghel Saligny""";4061100375;URBAN;Constructii, instalatii Si lucrari publice;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;5.32;6.00
B;287;"Colegiul Tehnic ""Anghel Saligny""";4061100375;URBAN;Economic;Limba romana;-;72;72;Zi;Servicii;Tehnologica;Liceal;7.30;7.35
B;288;"Colegiul Tehnic ""Anghel Saligny""";4061100375;URBAN;Protectia mediului;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;7.05;6.75
B;259;"Liceul Teoretic ""Alexandru Ioan Cuza""";4061102576;URBAN;Matematica-Informatica;Limba romana;-;130;130;Zi;Real;Teoretica;Liceal;9.25;9.29
B;260;"Liceul Teoretic ""Alexandru Ioan Cuza""";4061102576;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.30;9.28
B;261;"Liceul Teoretic ""Alexandru Ioan Cuza""";4061102576;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.17;9.20
B;300;Liceul Tehnologic Theodor Pallady;4061106069;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.52;7.47
B;301;Liceul Tehnologic Theodor Pallady;4061106069;URBAN;Mecanica;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;3.95;3.66
B;302;Liceul Tehnologic Theodor Pallady;4061106069;URBAN;Electronica automatizari;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;3.90;3.20
B;303;Liceul Tehnologic Theodor Pallady;4061106069;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;3.90;4.43
B;294;"Liceul Tehnologic ""Elie Radu""";4061100538;URBAN;Economic;Limba romana;-;96;96;Zi;Servicii;Tehnologica;Liceal;5.50;6.01
B;295;"Liceul Tehnologic ""Elie Radu""";4061100538;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.45;5.13
B;262;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.00;9.02
B;264;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.02;9.04
B;265;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Stiinte ale Naturii;Limba italiana;-;26;25;Zi;Real;Teoretica;Liceal;3.10;-
B;266;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.92;8.99
B;263;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Matematica-Informatica;Limba romana;Limba italiana;26;26;Zi;Real;Teoretica;Liceal;7.80;7.64
B;267;"Liceul Teoretic ""Dante Alighieri""";4061100502;URBAN;Filologie;Limba romana;Limba italiana;26;26;Zi;Umanist;Teoretica;Liceal;8.10;7.90
